"name","address","website","facebook","phone","email","hours","longitude","latitude","countryCode"
"Quinta da Herdeira","Rua da Quinta da Herdeira, Foros da Amora","","https://www.facebook.com/Quinta-da-Herdeira-Agricultura-Biológica-170728029760009/","","quintadaherdeira@gmail.com","",-9.116134599999999,38.6128536,"PT"
"Mercado Agrobio de Cascais","Parque Marechal Carmona","","","213 641 354 / 918 545 115","geral@agrobio.pt","Sábados, das 9h às 14h",-9.422824499999999,38.6930211,"PT"
"Mercado Agrobio de Oeiras","Jardim de Oeiras","","","213 641 354 / 918 545 115","geral@agrobio.pt","Sábados, das 9h às 14h",-9.3148435,38.6895479,"PT"
"Celeiro – Guimarães","Guimarães Shopping, Alameda Dr. Mariano Felgueiras Loja 146, 4835-075 Guimarães, PT","https://www.celeiro.pt/","","253 554 454","apoioaocliente@celeiro.pt","",-8.304033400000002,41.4403203,"PT"
"Mercado do Lumiar + Bio","Alameda das Linhas de Torres","","","213 641 354 / 918 545 115","geral@agrobio.pt","Terça a Sábado, das 9h às 20h",-9.1578651,38.7667045,"PT"
"Celeiro – Braga Parque","Braga Parque Shopping, Quinta dos Congregados, Loja 120, 4710-427 Braga, PT","https://www.celeiro.pt/","","253 616 537","apoioaocliente@celeiro.pt","",-8.406206599999999,41.5579509,"PT"
"Mercado Agrobio da Amadora","Jardim Delfim Guimarães (junto à Estação CP)","","","213 641 354 / 918 545 115","geral@agrobio.pt","Quartas-feiras, das 15h às 19h",-9.236470599999999,38.7590719,"PT"
"Biorigem","R. de Damião de Góis 69, 4000-143 Porto","","https://www.facebook.com/Biorigem-Produtos-da-Agricultura-Biológica-157723160942223/","225 026 222","info@biorigem.com","",-8.6105058,41.1614554,"PT"
"Mercado Municipal de Aveiro / Mercado Manuel Firmino","Praça do Mercado 82, 3800-223 Aveiro","","","234 428 100","","Sábados, das 9H00 às 14H00",-8.648952699999999,40.6421201,"PT"
"Solobio","Rua João José Moura Caldeira Freitas n.º 28, Edf. Green Park, Loja A (Zona da Ajuda), Funchal","","https://www.facebook.com/Solobio.Madeira/","965 319 584","mercearia.solobio@gmail.com","",-16.942043,32.63701,"PT"
"Biobrassica","R. Dr. António Palha, n.º 15, loja 11, Lamaçães, 4715-091 Braga","https://www.biobrassica.pt/","","253 271 187","angela@biobrassica.pt","",-8.397072300000001,41.5508836,"PT"
"Bioatlântico","Rua da Cavada, nº.102, 4590-549 Paços de Ferreira","www.bioatlantico.pt","","255 400 497 / 933 555 933","info@bioatlantico.pt","",-8.3708116,41.27571,"PT"
"Celeiro – Via Catarina","Rua de Santa Catarina 312-350, Loja 1.13B, 4000-443 Porto, PT","https://www.celeiro.pt/","","220 122 783","apoioaocliente@celeiro.pt","",-8.6059504,41.1489287,"PT"
"Ideal Bio","R. de 5 de Outubro 352, Porto","https://idealbio.pt/","","226 091 873","","",-8.6319529,41.1615725,"PT"
"Feira de Produtos Biológicos","Beco das Carreiras, Quinta 66, 4100-158 Porto","","https://www.facebook.com/organicporto/","228 349 490","","Sábado, das 10H00 às 14H00",-8.6719285,41.1704506,"PT"
"Celeiro – Parque Nascente","Praceta Parque Nascente, 35, 4435-182 Rio Tinto, PT","https://www.celeiro.pt/","","220 113 597","apoioaocliente@celeiro.pt","",-8.565684899999999,41.1748915,"PT"
"Quinta das Mélias","Av. da Revolução 28, 2890-013, Alcochete","","https://www.facebook.com/Quinta-das-Mélias-1581909308772821/","212 315 692","","",-8.9610085,38.7527274,"PT"
"O’baga","Rua Quinta Vinha do Vale nº20, 3505-247","http://www.obaga.pt/","","965 025 098","info@obaga.pt","",-7.800447999999999,40.66626,"PT"
"Green Planet","Praceta Emídio Santana 11B, 2840-588 Paio Pires","","","212 268 400","","",-9.087086200000002,38.607189,"PT"
"Go Natural Supermercado – Foz","Rua Senhora da Luz, 238 – 4150-697 Porto","www.gonatural.pt/","","936 627 835","geral@gonatural.pt","",-8.6765206,41.1512169,"PT"
"Celeiro – Almada","Almada Forum Loja 1119-1120, 2800-000 Almada, PT","https://www.celeiro.pt/","","212 508 220","apoioaocliente@celeiro.pt","",-9.175226499999999,38.6601292,"PT"
"Quinta da Seara, Turismo Rural","R. Padre José Pires Afonso, 4740-591 Esposende","www.quintadaseara.com","","253 961 284","","",-8.7427078,41.5459357,"PT"
"Feira de Prod. Biológicos de Braga","Praça Cândido Costa Pires, 4710-240 Braga","","https://www.facebook.com/feiraprodutosbiologicosbraga/","253 271 187","","Sábados, das 9H00 às 12H30",-8.4149326,41.54667269999999,"PT"
"Bioescolha","R. Bernardo de Albuquerque 15-17, 3000-072 Coimbra","","https://www.facebook.com/Bioescolha/","239 406 793","info@bioescolha.pt","",-8.412989699999999,40.21410030000001,"PT"
"Celeiro – Fórum Coimbra","Forúm Coimbra – Av. José Bonifácio de Andrade e Silva Nº1, Quinta do Vale Gemil – Almegue Santa Clara, Piso 0, loja 013, 3040-389 Coimbra, PT","https://www.celeiro.pt/","","239 070 121","apoioaocliente@celeiro.pt","",-8.4437522,40.2122461,"PT"
"Alfazema – Mercado Biológico","R. de Sant’Ana à Lapa 113, 1350-180 Lisboa","https://www.mercadobiologicoalfazema.pt/","","926 639 579","alfazema@mercadobio.pt","",-9.1638807,38.7112672,"PT"
"Verdejar","Espinhal, Coimbra","http://www.verdejar.pt/","","965 287 896","verdejar.agriculturabiologica@gmail.com","",-8.349205699999999,40.0127163,"PT"
"Mercado Agrobio de Lisboa – Parque das Nações","Torre Vasco da Gama","","","213 641 354 / 918 545 115","geral@agrobio.pt","Sábados, das 9h às 14h",-9.0917586,38.7747796,"PT"
"Biocoop","Rua Salgueiro Maia, Nr. 12, 2685-374 Figo Maduro, Prior Velho","www.biocoop.pt","","219 410 479","geral@biocoop.pt","",,,
"Mercearia Bio","Rua das Comunicações, edifício Casa do Rio, Loja C, 8500-657 Portimão","https://www.merceariabio.pt/","","282 476 439","mb@merceariabio.pt","",-8.535622,37.136055,"PT"
"Bioescolha","Av. Marquês de Pombal 12B, 2410-152 Leiria","","https://www.facebook.com/bioescolhaleiria","244 233 035","","",-8.8040644,39.740213,"PT"
"Celeiro – Mar Shopping Algarve","Mar Shopping Loulé, Piso 0, Loja 0.47, 8135-014 Loulé","https://www.celeiro.pt/","","289 106 156","apoioaocliente@celeiro.pt","",-7.995939,37.0969962,"PT"
"Celeiro – Algarve","AlgarveShopping – Lanka Parque Comercial e Industrial do Algarve, Lote R, Fração 3, Tavagueira, Guia, Loja 0.154, 8200-417 Albufeira , PT","https://www.celeiro.pt/","","289 070 155","apoioaocliente@celeiro.pt","",-8.280373299999999,37.1274879,"PT"
"Amor Bio – Benfica","Rua Prof. Reinaldo dos Santos, 11A 1500-501 Lisboa","http://www.amorbio.pt/","","210 143 089","info@amorbio.pt","",-9.1886458,38.7481544,"PT"
"Celeiro – Alvalade","Praça de Alvalade nº 6, loja 14, 1700-036 Lisboa, PT","https://www.celeiro.pt/","","210 106 735","apoioaocliente@celeiro.pt","",-9.1450748,38.7530086,"PT"
"Espaço Vegan & Bio","Av. de Ceuta, Urb. A Nora, Lote 3, Loja B, 8125-116 Quarteira, Faro","","https://www.facebook.com/Espaço-Vegan-Bio-800444220015158/","925 587 172","veganbio2014@gmail.com","",-8.0968938,37.0721763,"PT"
"Celeiro – Leiria","LeiriaShopping, Estrada Nacional Nº1 Loja 057-058, 2400-822 Leiria, PT","https://www.celeiro.pt/","","244 872 781","apoioaocliente@celeiro.pt","",-8.8238655,39.7328342,"PT"
"Biofrade – A Loja da Horta (Parede)","Jardins do Buzano,134, R. Melvin Jones, 2785-338 Parede","http://www.biofrade.com/home","","962 071 338","info@biofrade.com","",-9.3499312,38.6949827,"PT"
"Celeiro – Amoreiras","Amoreiras Shopping Center – Av. Eng. Duarte Pacheco, loja 1131, 1070-103 Lisboa, PT","https://www.celeiro.pt/","","210 177 800","apoioaocliente@celeiro.pt","",-9.1616805,38.7235062,"PT"
"Celeiro – Alfragide","Alegro Alfragide, Av. dos Cavaleiros, Loja 27, 2790-045 Carnaxide, PT","https://www.celeiro.pt/","","214 174 686","apoioaocliente@celeiro.pt","",-9.2184976,38.7272754,"PT"
"Celeiro – Campo de Ourique","Rua do 4 de Infantaria, 34, 1350-273 Lisboa, PT","https://www.celeiro.pt/","","213 971 648","apoioaocliente@celeiro.pt","",-9.1647477,38.7187438,"PT"
"Celeiro – Dolce Vita Tejo","C. C. Dolce Vita Tejo, Loja 66, 2650-435 Amadora, PT","https://www.celeiro.pt/","","214 782 565","apoioaocliente@celeiro.pt","",-9.219548999999999,38.776298,"PT"
"Celeiro – Colombo","C. C. Colombo, Av. Lusíada, Loja 51, 1500-392 Lisboa, PT","https://www.celeiro.pt/","","217 111 005","apoioaocliente@celeiro.pt","",-9.1886805,38.7547463,"PT"
"Celeiro – Fórum Algarve","EN 125 Km 103, Piso 0, Loja 0.04, 8009-020 Faro, PT","https://www.celeiro.pt/","","967 087 776","apoioaocliente@celeiro.pt","",-8.175120399999999,37.1233036,"PT"
"Celeiro – Amadora","Hipermercado Continente, Estrada Nacional, Loja 33, 2724-510 Amadora, PT","https://www.celeiro.pt/","","210 106 862","apoioaocliente@celeiro.pt","",-9.232669,38.7422896,"PT"
"Celeiro – Fórum Sintra","Forum Sintra, Loja 0.16, 2635-018 Rio de Mouro, PT","https://www.celeiro.pt/","","210 176 642","apoioaocliente@celeiro.pt","",-9.341489,38.774876,"PT"
"Celeiro – Av. de Roma","Avenida de Roma, 12, 1000-261 Lisboa, PT","https://www.celeiro.pt/","","218 486 908","apoioaocliente@celeiro.pt","",-9.1384552,38.7431816,"PT"
"Celeiro – Loures","Loures Shopping, Av. das Descobertas, nº90, Loja 17, 2670-457 Loures, PT","https://www.celeiro.pt/","","219 825 353","apoioaocliente@celeiro.pt","",-9.1566486,38.8341258,"PT"
"Celeiro – CascaiShopping","C. C. CascaiShopping, Estrada Nacional nº9, Loja 10, 2645-543 Alcabideche, PT","https://www.celeiro.pt/","","214 607 304","apoioaocliente@celeiro.pt","",-9.399391699999999,38.7390315,"PT"
"Go Natural Supermercado – Estoril","Rua Biarritz, 12 2765-263 Estoril","www.gonatural.pt/","","934 590 003","geral@gonatural.pt","",-9.3952122,38.7049659,"PT"
"Celeiro – Saldanha Residence","Avenida Fontes Pereira de Melo n.º 42 E, Loja n.º 06 , Saldanha, 1050-250 Lisboa","https://www.celeiro.pt/","","212 696 489","apoioaocliente@celeiro.pt","",-9.145579,38.732236,"PT"
"Celeiro – Gaia","Gaia Shopping, Av. dos Descobrimentos, 549, Loja 549, 4400-001 Vila Nova de Gaia, PT","https://www.celeiro.pt/","","223 706 500","apoioaocliente@celeiro.pt","",-8.6213962,41.118363,"PT"
"Jardim Verde – Odivelas","Estrada da Paiã Casal do Troca 2675-626 Odivelas – Strada Shopping e Fashion Outlet Loja 1140 B","https://jardimverde.pt/","","219 317 217 / 916 629 457","hd.odivelas@gmail.com","",-9.192037599999999,38.7818969,"PT"
"Go Natural Supermercado – Campo de Ourique","Rua Azedo Gneco, 30 1350-036 Lisboa","www.gonatural.pt/","","930 425 252","geral@gonatural.pt","",-9.168183899999999,38.7187924,"PT"
"Jardim Verde – Cascais","Avenida Don Pedro I, Lote 1 2750-786 Cascais – Centro Comercial Cascais Villa Loja 1.14","https://jardimverde.pt/","","Tfm: 214 818 742 / 916 629 458","hd.cvilla@gmail.com","",-9.4180919,38.7014944,"PT"
"Celeiro – Vasco da Gama","C. C. Vasco da Gama, Av. D. João II, Loja 0, 21, 1990-094 Lisboa, PT","https://www.celeiro.pt/","","218 951 227","apoioaocliente@celeiro.pt","",-9.097472999999999,38.767723,"PT"
"Cantinho das Aromáticas","Rua do Meiral 508, 4400-501 Vila Nova de Gaia","https://www.cantinhodasaromaticas.pt/","","227 710 301","geral@cantinhodasaromaticas.pt","",-8.6451255,41.1253474,"PT"
"Celeiro – Torres Vedras","Arenashopping, Rua António Alves Ferreira, Loja 1059, 2560-000 Torres Vedras, PT","https://www.celeiro.pt/","","261 325 297","apoioaocliente@celeiro.pt","",-9.252841199999999,39.1015359,"PT"
"Celeiro – Porto Alameda Shop & Spot","C.C. Alameda Shop & Spot, Rua dos Campeões 28, loja 060, 4435-111 Porto, PT","https://www.celeiro.pt/","","225 025 884","apoioaocliente@celeiro.pt","",-8.584202699999999,41.1637774,"PT"
"Celeiro – Coimbra Alma Shopping","C.C. Alma Shopping, Rua General Humberto Delgado nº 207-211, 3030-327 Coimbra, PT","https://www.celeiro.pt/","","239 780 617","apoioaocliente@celeiro.pt","",-8.4076108,40.2046885,"PT"
"Celeiro – Seixal","Rio Sul Shopping, Av. dos Libertadores de Timor Lorosae, Torre da Marinha, Loja 010, 2840-168 Seixal, PT","https://www.celeiro.pt/","","212 279 660","apoioaocliente@celeiro.pt","",-9.103743,38.612776,"PT"
"Go Natural Supermercado – Chiado","Travessa do Carmo 1, 1200-095 Lisboa","www.gonatural.pt/","","932 400 003","geral@gonatural.pt","",-9.1410261,38.7115046,"PT"
"Miosótis","R. Latino Coelho 89A, 1050-053 Lisboa","http://biomiosotis.pt/home","","211 369 849 / 213 147 841","atendimento@biomiosotis.pt","",-9.1509444,38.7333216,"PT"
"Go Natural Supermercado – Carnaxide","Av. do Forte 10, 2790-072 Carnaxide","www.gonatural.pt/","","931 124 324","geral@gonatural.pt","",-9.2346364,38.7233507,"PT"
"Mercado Agrobio de Almada","Praça das Forças Armadas","","","213 641 354 / 918 545 115","geral@agrobio.pt","Sábados, das 9H00 às 14hH00",-9.1557174,38.6802264,"PT"
"Go Natural Supermercado – Picoas","Rua Joaquim Bonifácio, 21 1150-115 Lisboa","www.gonatural.pt/","","936 500 034","geral@gonatural.pt","",-9.1415242,38.7275351,"PT"
"Celeiro – Olivais","Spacio Shopping Center, Rua Cidade de Bolama, Loja 17, 1800-079 Lisboa, PT","https://www.celeiro.pt/","","218 515 063","apoioaocliente@celeiro.pt","",-9.1143505,38.7623042,"PT"
"Funkybio – Mercatu Biológico","Rua do Crasto, 210, Nevogilde, Porto, Portugal","","https://www.facebook.com/funkybio/","226 172 063","geral@funkybio.com","",-8.679534199999999,41.1580275,"PT"
"4Bio","Av. António José Gomes 39B, 2805-086 Almada","http://www.4bio.pt/","","265 422 682","","",-9.1565421,38.6713029,"PT"
"Go Natural Supermercado – Telheiras","Rua Professor João Barreira, 3 1600-646 Lisboa","www.gonatural.pt/","","930 402 811","geral@gonatural.pt","",-9.1708763,38.7609141,"PT"
"Mercadinho Bio do Botânico","Mercado do Calhabé","","https://www.facebook.com/mercadinhodobotanicocoimbra/","","","das 17H00 às 20H00",-8.413791999999999,40.2024093,"PT"
"Alcagoita","Maria Vinagre, Rua Da Frente Nº7, 8670-430 Aljezur, Faro","","","282 994 021","bioalcagoita@hotmail.com","",-8.7819444,37.3977739,"PT"
"AlémBio","R. do Raimundo 115, 7000-661 Évora","https://www.alembio.pt/","","266 094 167 / 969 069 507","geral@alembio.pt","",-7.912412400000001,38.5681102,"PT"
"Tesouros do Bosque","Rua da Fonte, nº 38 Franciscas, 3060-200 Cantanhede","","https://www.facebook.com/tesourosdobosquelda/","933 314 435","tesouros.do.bosque@outlook.pt","",-8.6345029,40.3729177,"PT"
"Bionature","Rua Ataíde de Oliveira 109A, 8000-218 Faro","","https://www.facebook.com/Bionature-439492669417792/","917 265 194","maria_soares62@hotmail.com","",-7.9272993,37.0208928,"PT"
"Loja Herdade do Freixo do Meio","Mercado da Ribeira, Av. 24 de Julho 481, 7050-705 Lisboa","https://www.herdadedofreixodomeio.pt/","","213 461 343","geral@herdadedofreixodomeio.pt","",-9.1458091,38.70711439999999,"PT"
"Celeiro – Mar Shopping","Av. Dr. Óscar Lopes, Leça da Palmeira, Loja 0.81, 4450-337 Matosinhos, PT","https://www.celeiro.pt/","","220 130 287","apoioaocliente@celeiro.pt","",-8.6865388,41.2085249,"PT"
"Mercado Agrobio de Carcavelos","Quinta da Alago","","","213 641 354 / 918 545 115","geral@agrobio.pt","Sábados, das 9h às 14h",-8.027028,37.060503,"PT"
"Horta à Porta","Rua Eng Ferreira Dias, 924 Armazém G1, 4100-246 Porto","http://www.hortaaporta.com/","","939 675 399 / 913 120 474","info@hortaaporta.com","",-8.6472865,41.1762764,"PT"
"Gasshô","R. Mariano Coelho 5, 2900-486 Setúbal","","https://www.facebook.com/Espaco.Gassho/","265 536 323","info@gassho.pt","",-8.8939205,38.5281412,"PT"
"Beterraba","Mercado Municipal 7 e 8 Tavira Faro, 8800-681","","https://www.facebook.com/beterrabalojabio/","281 328 609","beterraba.tavira@sapo.pt","",-7.643832,37.123062,"PT"
"Mercado Agrobio de Lisboa – São Vicente","Jardim Botto Machado (junto à Feira da Ladra)","","","213 641 354 / 918 545 115","geral@agrobio.pt","Sábados, das 8h às 14h",-9.124299599999999,38.7159064,"PT"
"Serra Verde – Alojamento Local","Herdade Serra dos Mendes, C.C.I nº 3128, Barrancão 7580-701 Santa Susana","","https://www.facebook.com/Serra-Verde-867393256604900/","266 830 017","geral@alembio.pt","",-118.7089797,34.2716694,"US"
"Ladybug – Sumos Biológicos","B 23, Av. João Crisóstomo, 1050-125 Lisboa","http://www.ladybugsumosbiologicos.com/pt/","","213 520 323 / 961 351 233","geral@ladybugsumosbiologicos.com","",-9.146474999999999,38.73600690000001,"PT"
"Celeiro – Norte Shopping","Rua Sara Afonso Loja 0.502, Piso 0, 4460-841 Senhora da Hora, PT","https://www.celeiro.pt/","","220 122 781","apoioaocliente@celeiro.pt","",-8.6543131,41.181188,"PT"
"Bioino – Mercearia Biológica","Alameda dos Oceanos 13 E 1990-196, 1990-184 Lisboa","http://bioino.com/","","216 079 246","encomendas@bioino.com","",-9.0965632,38.7562082,"PT"
"Amor Bio – Alvalade","Praça de Alvalade, 9A, 1700-037 Lisboa","http://www.amorbio.pt/","","210 996 694","info@amorbio.pt","",-9.144147499999999,38.7539502,"PT"
"Go Natural Supermercado – Av. 5 de Outubro","Avenida 5 de Outubro, nºs 85, 1050-053 Lisboa","www.gonatural.pt/","","931 169 906 / 931 169 905","geral@gonatural.pt","",-9.148026,38.7372346,"PT"
"Biomercado","Av. Duque de Ávila 141B, 1050-053 Lisboa","http://www.biomercado.com.pt/","","967 858 091","apoioaocliente@biomercado.com.pt","",-9.1468692,38.7350074,"PT"
"Bio-Logos","Rua Nova São Pedro 34, Funchal, Ilha Da Madeira","","https://www.facebook.com/biologoslda/","291 236 868","bio.logos@mail.telepac.pt","",-16.9124154,32.6483051,"PT"
"Hotel Quinta da Serra","Estrada do Chote Nº 4 – Jardim da Serra, 9325-140 Camara de Lobos, Madeira, Portugal","http://www.hotelquintadaserra.com/hotel-overview.html","","291 640 120","info@hotelquintadaserra.com","",-16.9981592,32.6923412,"PT"
"Celeiro – Av. António Augusto de Aguiar","Av. António Augusto de Aguiar, 130-A, 1050-020 Lisboa, PT","https://www.celeiro.pt/","","213 558 164","apoioaocliente@celeiro.pt","",-9.1533299,38.7339475,"PT"
"Celeiro – Av. da República","Av. da República, 83-C, 1050-190 Lisboa, PT","https://www.celeiro.pt/","","217 952 823","apoioaocliente@celeiro.pt","",-9.147162999999999,38.7421773,"PT"
"Celeiro – Oeiras","Oeiras Parque Shopping, Av. António Bernardo Cabral de Macedo, Loja 1019, 2770-219 Oeiras, PT","https://www.celeiro.pt/","","214 460 786","apoioaocliente@celeiro.pt","",-9.301796399999999,38.7053332,"PT"
"Celeiro – Morais Soares","Rua Morais Soares, 83-A, 1900-342 Lisboa, PT","https://www.celeiro.pt/","","218 141 913","apoioaocliente@celeiro.pt","",-9.1302875,38.7325267,"PT"
"Celeiro – 1º de Dezembro","Rua 1º de Dezembro, 65, 1200-357 Lisboa, PT","https://www.celeiro.pt/","","210 306 030","apoioaocliente@celeiro.pt","",-9.1401997,38.713455,"PT"
"Puro Bio","R. Fernão Lopes 17, 1000-090 Lisboa","https://www.puro-bio.pt/","","210 987 003","loja@puro-bio.pt","",-9.1443925,38.7324721,"PT"
"Espiral","Praça Ilha do Faial 14 A, 1000-168 Lisboa","https://www.espiral.pt/","","214 094 487 / 966 605 625","info@espiral.pt","",-9.1407063,38.7322407,"PT"
"Terra Pura – Amoreiras","Avenida Engenheiro Duarte Pacheco 1137, 1070-103 Lisboa","","https://www.facebook.com/terrapura.gr/","213 832 225","informacoes@terrapura.pt","",-9.1620399,38.723888,"PT"
"Mercado Biológico do Príncipe Real","Praça do Príncipe Real, 1250-096 Lisboa","","","213 425 982","geral@jf-misericordia.pt","Sábados, das 8h às 14h",-9.1483536,38.7166702,"PT"
"Mercado Agrobio de Lisboa – Campo Pequeno","Jardim do Campo Pequeno, Lisboa","","","213 641 354 / 918 545 115","geral@agrobio.pt","Sábados, das 9h às 14h",-9.146344599999999,38.7430824,"PT"
"Jardim Verde – Telheiras","Azinhaga Torre do Fato, 35 Loja C – 1600-744 Lisboa","https://jardimverde.pt/","","217 162 747 / 916 628 161","hd.telheiras@gmail.com","",-9.1772706,38.7647645,"PT"
"Azeitona Verde – Quinta Biológica","Quinta da Azeitona Verde, Marvão, Portugal","https://azeitonaverde.pt/","","919 319 751","info@azeitonaverde.pt","",-7.3764514,39.3940052,"PT"
"Mercadinho BIO do Funchal","Largo da Restauração – Funchal","","https://www.facebook.com/pages/Mercadinho-Bio-Funchal/679018818837378","","","Quarta-feira, das 9H00 às 16H00",-16.903129,32.676075,"PT"
"Fresh Bio","Rua de São Martinho nº1, Mercado Abastecedor de São Martinho Loja 15, 9000-644 Funchal","http://www.freshbio.pt/index.php?route=common/home","","968 898 959","bio.logos@mail.telepac.pt","",-16.946179,32.65309300000001,"PT"
"Plano D","Rua das Hortas, n.º 11, Funchal","","https://www.facebook.com/planod.pt/","291 234273 | 912 008 232 | 969 460 352","geral@planod.pt","",-16.906088,32.6528493,"PT"
"Mercado Agrobio de Algés","Jardim de Algés","","","213 641 354 / 918 545 115","geral@agrobio.pt","Sábados, das 9h às 14h",-9.232661199999999,38.6990059,"PT"
"Intervalo – Comida Vegetariana / Macrobiótica","R. Eng.º Vieira da Silva, Mercado 31 de Janeiro – Loja 24, 1050 Lisboa","","","Tfm: 213 140 452","intervalo.casadascomidas@gmail.com","",-9.1440689,38.7311643,"PT"
"Pachamama – Restaurante Biológico","Boqueirão do Duro n.º 46, 1200-163 Lisboa","http://www.pachamama.pt/","","215 987 650","","",-9.151620399999999,38.7085385,"PT"
"Villa Bio","R. Gonçalves Zarco 18, 1400-351 Lisboa","","https://www.facebook.com/VillaBio.pt/","213 011 518","geral@villabio.pt","",-9.204689600000002,38.7056928,"PT"
"Terra Pura – Colombo","Av. Lusíada, 1500-392 Lisboa","","https://www.facebook.com/terrapura.gr/","934 734 480","informacoes@terrapura.pt","",-9.188420599999999,38.754596,"PT"
"Mercado Agrobio de Loures","Avenida das Descobertas – Infantado – Loures","","","213 641 354 / 918 545 115","geral@agrobio.pt","Sábados, das 9h às 14h",-9.160312,38.838168,"PT"
"Celeiro – Campus de São João","Galerias Campus S.João, Rua Plácido Costa, Loja 101, 4200-450 Porto, PT","https://www.celeiro.pt/","","225 026 816","apoioaocliente@celeiro.pt","",-8.6041343,41.1804022,"PT"
"Celeiro – Arrábida Shopping","Praceta Henrique Moreira nº 244, 4400-346 Vila Nova de Gaia, PT","https://www.celeiro.pt/","","220 122 059","apoioaocliente@celeiro.pt","",-8.6366443,41.1405269,"PT"
"Biomercado – Alimentação Biológica","R. Álvaro Castelões 28, Matosinhos","","https://www.facebook.com/Biomercado/","967 400 483","biomercado@gmail.com","",-8.6927073,41.1872804,"PT"
"Celeiro – Montijo","Fórum Montijo – Zona Industrial do Pau Queimado, Rua da Azinheira – Afonsoeiro, loja 0.17, 2870-100 Montijo, PT","https://www.celeiro.pt/","","210 123 510","apoioaocliente@celeiro.pt","",-8.942179,38.695526,"PT"
"Do Lado de Cá","Mercado Municipal de Vila Nova de Santo AndréSetúbal","","https://www.facebook.com/doladodeca.com.pt/","918 837 121","doladodeca@outlook.pt","",-8.7869301,38.0596609,"PT"
"Mão de Terra","Urbanização Cerrado da Praia, Praça Bartolomeu Dias, Lj 87-97, Alcochete","","https://www.facebook.com/MaoDeTerra/","966 605 736","maodeterra.bio@gmail.com","",-8.969932199999999,38.7456347,"PT"
"Celeiro – Viseu","CC Forum Viseu, Loja 2.37/2.48, Rua Dom José da Cruz Moreira Pinto, 32,3510-078 Viseu","https://www.celeiro.pt/","","232 243 570","apoioaocliente@celeiro.pt","",-7.9139662,40.6618237,"PT"
"Mercado Agrobio de Cacilhas","Cacilhas (junto ao Terminal Fluvial de Cacilhas)","","","213 641 354 / 918 545 115","geral@agrobio.pt","Quartas-feiras, das 14h às 18h (horário de Inverno) / das 14h às 20h (horário de Verão)",-9.146948,38.68638,"PT"
"Celeiro – Shopping Cidade do Porto","Shopping Cidade do Porto – End. Postal Praça do Bom Sucesso 61, 4150-146 Porto, PT","https://www.celeiro.pt/","","220 101 744","apoioaocliente@celeiro.pt","",-8.6296436,41.1549366,"PT"
